word
Acostumar
Costumar
Acurado
Apurado
Adotar
Dotar
Aferir
Auferir
Agourar
Augurar
Amoral
Imoral
Apóstrofe
Apóstrofo
Aprender
Apreender
Arrear
Arriar
Assoar
Assuar
Arteriosclerose
Aterosclerose
Atuar
Autuar
Auto
Alto
Calção
Caução
Calda
Cauda
Câmara
Câmera
Cavaleiro
Cavalheiro
Celerado
Acelerado
Comprimento
Cumprimento
Conjetura
Conjuntura
Costear
Custear
Deferir
Diferir
Degredado
Degradado
Delatar
Dilatar
Descrição
Discrição
Descriminar
Discriminar
Desmistificar
Desmitificar
Despensa
Dispensa
Desapercebido
Despercebido
Destratar
Distratar
Destinto
Distinto
Discente
Docente
Eludir
Iludir
Emergir
Imergir
Emigrar
Imigrar
Eminente
Iminente
Emissão
Imissão
Emitir
Imitir
Esbaforido
Espavorido
Estada
Estadia
Estância
Instância
Estofar
Estufar
Flagrante
Fragrante
Fluir
Fruir
Fuzil
Fusível
Imergir
Emergir
Incerto
Inserto
Incidente
Acidente
Inflação
Infração
Informar
Enformar
Enfornar
Infligir
Infringir
Mandado
Mandato
Peão
Pião
Pequenez
Pequinês
Pleito
Preito
Precedente
Procedente
Proeminente
Preeminente
Prescrição
Proscrição
Previdência
Providência
Ratificar
Retificar
Recrear
Recriar
Soar
Suar
Sobrescrever, sobrescritar
Subscrever, subscritar
Sortir
Surtir
Tráfego
Tráfico
Treplicar
Triplicar
Vadear
Vadiar
Vultoso
Vultuoso
Zumbido
Zunido
